index,question_id,question,correct_answers,majority_answer,category,image_path,predicted_answer,is_correct,rationale,hypothesis,support,entail_prob,informative,vf_questions,vf_answers,visual_fidelity,commonsense_plausibility
0,VizWiz_val_00000003,Which one is the blue one?,"['right', 'omni sorb', '1 on right', 'on right', 'right 1']",right,other,images/3.jpg,right,1.0,"The image shows two small boxes placed on a wooden surface. The box on the right is blue with white text, while the one on the left has a red and white label. The question asks which box is blue, and based on the description provided in the image caption, it correctly identifies that the right box is blue.",The blue one is the right.,False,0.4814538359642029,1,"['Is the box on the right blue with white text?', 'Is the box on the left labeled with red and white?']","['yes', 'yes']",1.0,0.692973375
1,VizWiz_val_00000015,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the left?","['left', 'right']",left,other,images/15.jpg,right,1.0,"The item labeled ""Children's Dictionary"" is the one on the bottom right of the image. This can be identified by the text ""Children's Dictionary"" prominently displayed on its packaging, which is not present on the other item.",The children's dictionary is the one on the right.,False,0.0211959891021251,1,"['Is there an item labeled ""Children\'s Dictionary"" on the bottom right of the image?', 'Does the item on the bottom right have the text ""Children\'s Dictionary"" prominently displayed on its packaging?']","['yes', 'yes']",1.0,0.704578817
2,VizWiz_val_00000048,What store is this?,"['original pancake house', 'pancake house']",original pancake house,other,images/48.jpg,pancake house,1.0,"The image shows a sign on the glass door of a building that reads ""THE Original PANCAKE HOUSE."" The text is stylized, with the word ""Original"" in a cursive font and ""PANCAKE HOUSE"" in block letters. The sign indicates that this is the entrance to a pancake house restaurant, which specializes in serving pancakes. The reflection on the glass door suggests it is a commercial establishment designed for dining, likely offering breakfast or brunch items.",This store is a pancake house.,True,0.9880164861679076,1,"['Does the sign on the glass door read ""THE Original PANCAKE HOUSE""?  ', 'Is the word ""Original"" on the sign in a cursive font?  ', 'Is the phrase ""PANCAKE HOUSE"" on the sign in block letters?  ', 'Is there a reflection on the glass door suggesting it is a commercial establishment?']","['yes', 'yes', 'yes', 'yes']",1.0,0.481233865
3,VizWiz_val_00000054,What's the name of the drink?,"['irnbru', 'irn bru', 'irnbru barr', 'barr irn bru sugar free', 'irn barr bru', 'irn barr bru sugar free']",irn bru,other,images/54.jpg,irn-bru,1.0,"The image shows a bottle of Irn-Bru, which is a popular carbonated soft drink in the United Kingdom and some other parts of Europe. The label on the bottle clearly displays ""IRN-BRU"" in large letters, with additional text indicating it is a ""SUGAR FREE"" version. Irn-Bru is known for its distinctive flavor and is often associated with Scottish culture, though it's enjoyed by many in the UK.",The name of the drink is irn-bru.,True,0.5997195839881897,1,"['Does the label on the bottle display ""IRN-BRU"" in large letters?', 'Is there additional text on the label indicating it is a ""SUGAR FREE"" version?']","['yes', 'yes']",1.0,0.400402784
4,VizWiz_val_00000057,What is on the pillowcase?,"['texas logo', 'sports team logo', 'texas', 'texas longhorns', 'texas longhorn']",texas,other,images/57.jpg,texas,1.0,"The image shows a bed with bedding that prominently features the word ""TEXAS"" in large, bold letters. The design includes a graphic of a longhorn steer, which is associated with the University of Texas at Austin. The bedding appears to be a set designed for fans or supporters of this university, as the longhorn is a well-known symbol. The pillowcase in question has ""TEXAS"" printed on it, which aligns with the overall theme of the bedding.",There is texas on the pillowcase.,True,0.5348554849624634,1,"['Does the pillowcase have the word ""TEXAS"" printed on it?', 'Is there a graphic of a longhorn steer on the bedding?', 'Is the word ""TEXAS"" in large, bold letters on the bedding?']","['yes', 'yes', 'yes']",1.0,0.396148801
5,VizWiz_val_00000064,What is the person doing?,"['looking at computer screen', 'watching computer screen', 'working on computer', 'looking at computer', 'sitting', 'sitting at computer', 'looking at screen', 'computing', 'sitting at desktop computer on desk']",looking at computer,other,images/64.jpg,working,0.5,"The image shows a person sitting at a desk with two computer monitors, which suggests they are working on a task that requires the use of computers. The person appears to be focused, which is consistent with someone engaged in work activities. Therefore, the reasoning behind the answer ""working"" is that the person's posture and environment are indicative of someone who is actively using computers, likely for work-related tasks.",The person is working.,True,0.9987863898277284,1,"['Is the person sitting at a desk?', 'Are there two computer monitors on the desk?', 'Does the person appear to be focused?']","['yes', 'no', 'yes']",0.666666667,0.484437555
6,VizWiz_val_00000069,Can you tell me what this bottle says?,"['warm vanilla sugar', 'sugar', 'warm vanilla sugar body lotion', 'warm vanila sugar']",warm vanilla sugar,other,images/69.jpg,warm vanilla sugar body lotion,1.0,"The image shows a bottle of body lotion with the label clearly visible. The text on the label reads ""warm vanilla sugar"" and below it, in smaller font, is written ""body lotion."" The bottle also mentions that the product contains vitamin E and shea butter.",The bottle says warm vanilla sugar body lotion.,True,0.9995869994163512,1,"['Does the label on the bottle read ""warm vanilla sugar""?', 'Is ""body lotion"" written in smaller font below ""warm vanilla sugar"" on the label?', 'Does the bottle mention that the product contains vitamin E?', 'Does the bottle mention that the product contains shea butter?']","['yes', 'yes', 'yes', 'yes']",1.0,0.517801583
7,VizWiz_val_00000084,IS there a picture on this tv screen?,"['yes', 'windows icon']",yes,yes/no,images/84.jpg,no,0.0,"The image shows the Windows logo on a computer screen, which indicates that it is not displaying any picture but rather the default desktop background of a Windows operating system. The screen appears to be in a dark environment, and the image is focused on the illuminated Windows logo. Therefore, there isn't any picture displayed other than the default Windows background.",There is no picture on this TV screen.,False,0.0053238277323544,1,"['Is the Windows logo visible on the screen?', 'Is the screen displaying the default desktop background of a Windows operating system?', 'Is the environment around the screen dark?', 'Is the image focused on the illuminated Windows logo?']","['yes', 'yes', 'yes', 'yes']",1.0,0.421379834
8,VizWiz_val_00000090,Is the dialogue more visible in that picture?,"['bored', 'yes', 'no']",no,yes/no,images/90.jpg,no,1.0,"The image shows a computer screen with text that appears to be an error message or warning. The text is partially obscured and not fully legible, making it difficult to read the full content of the message. The dialogue is indeed not very visible due to the blurriness and partial obstruction by what seems like a physical object in front of the screen. Therefore, my answer is that no, the dialogue is not more visible in this picture because it's obscured and unclear.",The dialogue is not more visible in that picture.,True,0.9973529577255248,1,"['Is there text on the computer screen that appears to be an error message or warning?', 'Is the text on the screen partially obscured?', 'Is the text on the screen not fully legible?', 'Is there a physical object in front of the screen that partially obstructs the text?', 'Is the dialogue on the screen blurry or unclear?']","['yes', 'yes', 'yes', 'yes', 'yes']",1.0,0.465430886
9,VizWiz_val_00000113,What are the letters I need to enter in?,['kej'],kej,other,images/113.jpg,kej,1.0,"The image shows a webpage with a text box where the letters ""kej"" need to be entered. This is likely part of an online form or a verification process, where the user must input specific characters to proceed. The letters ""kej"" are displayed in a white box at the bottom of the image, which is presumably where they should be typed.",The letters you need to enter in are kej.,False,0.0450995676219463,1,"['Are the letters ""kej"" displayed in a white box at the bottom of the image?', 'Is there a text box on the webpage where letters need to be entered?']","['yes', 'yes']",1.0,0.405327469
10,VizWiz_val_00000124,What drink is this?,"['hint', 'bottle flavored water on desk', 'hint blackberry', 'blackberry hint', 'blackberry', 'blackberry flavored water']",hint blackberry,other,images/124.jpg,blackberry hint water,1.0,"The image shows a bottle of ""Hint"" brand water, which is known for its flavored varieties. The label on the bottle indicates that it contains blackberry flavoring, as well as noting ""NOT SUGAR"" and ""DRINK WATER,"" which suggests it is a sugar-free flavored water product. The presence of the blackberry flavoring aligns with the label's description, confirming that this is indeed a blackberry-flavored Hint water.",The drink is blackberry hint water.,True,0.9999172687530518,1,"['Is the bottle labeled with the ""Hint"" brand?', 'Does the label on the bottle indicate that it contains blackberry flavoring?', 'Does the label on the bottle include the words ""NOT SUGAR""?', 'Does the label on the bottle include the words ""DRINK WATER""?']","['yes', 'yes', 'yes', 'yes']",1.0,0.482770175
11,VizWiz_val_00000127,What does the screen say?,"['windows 7 home premium', 'windows', 'windows home premium']",windows 7 home premium,other,images/127.jpg,windows 7 home premium,1.0,"The image shows a computer screen displaying the Windows 7 Home Premium setup or installation process. The text on the screen reads ""Windows 7 Home Premium"" and includes a prompt asking to enter a name for your computer. This is part of the Windows 7 setup process, where users are prompted to provide a name for their computer before proceeding with the installation. The screen also includes copyright information at the bottom, indicating that this is a Microsoft product from 2013.",The screen says Windows 7 Home Premium.,False,0.0553074665367603,1,"['Does the screen display the text ""Windows 7 Home Premium""?  ', 'Is there a prompt on the screen asking to enter a name for your computer?  ', 'Does the screen include copyright information at the bottom?  ', 'Is the copyright information on the screen indicating that this is a Microsoft product from 2013?']","['yes', 'yes', 'yes', 'no']",0.75,0.474898994
12,VizWiz_val_00000145,Can you see the steak on this menu?,"['yes', 'yes 18$']",yes,yes/no,images/145.jpg,no,0.0,"The image shows a close-up of a printed menu, but the text is not entirely clear due to the angle and lighting. The visible part of the menu lists various barbecue dishes, including ""Beefy Barbecue Ribs,"" ""Big Bill's Baby Back Ribs,"" and ""Cowboy Combo Blow Out."" There is no visible steak on the menu in this image. The text appears to be about barbecue favorites, and while it mentions ""Steak,"" there is no specific mention of a steak dish on the visible portion.",You cannot see the steak on this menu.,True,0.9964221715927124,1,"['Is the menu in the image a printed menu?', 'Is the text on the menu unclear due to the angle and lighting?', 'Does the visible part of the menu list ""Beefy Barbecue Ribs""?', 'Does the visible part of the menu list ""Big Bill\'s Baby Back Ribs""?', 'Does the visible part of the menu list ""Cowboy Combo Blow Out""?', 'Is there no specific mention of a steak dish on the visible portion of the menu?']","['yes', 'yes', 'yes', 'no', 'yes', 'no']",0.666666667,0.469346941
